"","Strain","env","Mean_GR","Std_err"
"175","LK5-C11","30SC7",0.183455081795558,0.00137519474264101
"176","LK5-C11","37SC3",0.225876833547004,0.00202219638893712
"177","LK5-C11","37SC5",0.288985586698145,0.00152464694341461
"178","LK5-C11","37SC7",0.186610619795794,0.0016989385855925
"179","LK5-D09","30SC3",0.1965186894599,0.00097968655853059
"180","LK5-D09","30SC5",0.253351931185969,0.00144379135311272
"181","LK5-D09","30SC7",0.225443811588346,0.000663622247181204
"182","LK5-D09","37SC3",0.317399569311895,0.000519857662580919
"183","LK5-D09","37SC5",0.32816133251514,0.000797059916716581
"184","LK5-D09","37SC7",0.255059767799876,0.000856087470508973
"185","LK5-E09","30SC3",0.18463754003621,0.00129072009095439
"186","LK5-E09","30SC5",0.27441854958579,0.00132035428270401
"187","LK5-E09","30SC7",0.22899384529338,0.000785287387358314
"188","LK5-E09","37SC3",0.284889203268299,0.00099843029371198
"189","LK5-E09","37SC5",0.324442429524551,0.000799345154198952
"190","LK5-E09","37SC7",0.0935764297824616,0.00255404828140854
"191","LK5-F07","30SC3",0.176152383579408,0.00100213863233092
"192","LK5-F07","30SC5",0.272714624191088,0.0012966243759766
"193","LK5-F07","30SC7",0.192921328885279,0.00112431120781677
"194","LK5-F07","37SC3",0.32188599765686,0.000539995550602869
"195","LK5-F07","37SC5",0.358645074374124,0.000784361408475095
"196","LK5-F07","37SC7",0.122987998913394,0.00149722996965366
"197","LK5-F08","30SC3",0.048715731692769,0.00414598013318494
"198","LK5-F08","30SC5",0.135966464160549,0.00252180064425124
"199","LK5-F08","30SC7",0.138593790996257,0.00116920310975182
"200","LK5-F08","37SC3",0.312796227399455,0.000591850366698975
"201","LK5-F08","37SC5",0.342234806964018,0.000894779712428857
"202","LK5-F08","37SC7",0.215960481032389,0.00116116747112844
"203","LK5-G01","30SC3",0.093061389345017,0.00401134789962574
"204","LK5-G01","30SC5",0.234477407999947,0.00126252311800558
"205","LK5-G01","30SC7",0.193794976479942,0.00078463710375251
"206","LK5-G01","37SC3",0.226866867183917,0.00169574648231397
"207","LK5-G01","37SC5",0.262706639798622,0.00186028596913952
"208","LK5-G01","37SC7",0.221879326177765,0.00110720936292679
"209","LK5-G03","30SC3",0.123898559955997,0.00226863713707379
"210","LK5-G03","30SC5",0.193398936095143,0.00171872821017212
"211","LK5-G03","30SC7",0.204125528219268,0.000883606047493051
"212","LK5-G03","37SC3",0.234653646107344,0.00231109607835364
"213","LK5-G03","37SC5",0.284811721623752,0.00178053058781856
"214","LK5-G03","37SC7",0.194461499149865,0.0013745509371613
"215","LK5-H12","30SC3",0.148900334521634,0.00130900017296789
"216","LK5-H12","30SC5",0.277639741339152,0.00112029249749805
"217","LK5-H12","30SC7",0.226312558305152,0.000746638305461132
"218","LK5-H12","37SC3",0.288930723150368,0.000986817604592388
"219","LK5-H12","37SC5",0.314714149465556,0.0012276841015786
"220","LK5-H12","37SC7",0.155176274962133,0.00129036636505377
"221","LK6-A05","30SC3",0.186975783090051,0.00147262864000769
"222","LK6-A05","30SC5",0.290006309402662,0.00163649335105172
"223","LK6-A05","30SC7",0.235694018121376,0.00119422822585741
"224","LK6-A05","37SC3",0.28592994929353,0.00106210004507962
"225","LK6-A05","37SC5",0.320701955724515,0.000908526989583526
"226","LK6-A05","37SC7",0.278431843388506,0.00202372491198927
"227","LK6-B07","30SC3",0.125157719794463,0.00441874719205056
"228","LK6-B07","30SC5",0.233489887081181,0.00234260287786845
"229","LK6-B07","30SC7",0.166539540377913,0.00139807364656151
"230","LK6-B07","37SC3",0.264474522343199,0.00138566991000162
"231","LK6-B07","37SC5",0.30363944759226,0.0020638405504067
"232","LK6-B07","37SC7",0.144577505293283,0.00621534382764005
"233","LK6-B10","30SC3",0.192795042678592,0.00119732530858569
"234","LK6-B10","30SC5",0.214797667529348,0.00169490998603213
"235","LK6-B10","30SC7",0.18812938610437,0.00168713114701901
"236","LK6-B10","37SC3",0.289281867116279,0.000815251404632762
"237","LK6-B10","37SC5",0.325333568756113,0.00119964485192694
"238","LK6-B10","37SC7",0.101005667755297,0.00514394571385433
"239","LK6-D06","30SC3",0.12497771417337,0.00366107763478962
"240","LK6-D06","30SC5",0.194045522447842,0.00149284783613133
"241","LK6-D06","30SC7",0.18107794592869,0.00107622194350034
"242","LK6-D06","37SC3",0.204154980371545,0.0030267937289055
"243","LK6-D06","37SC5",0.245965186673456,0.00460283048460371
"244","LK6-D06","37SC7",0.138257238199888,0.00318751853011087
"245","LK6-D07","30SC3",0.159872074272157,0.00251080958035174
"246","LK6-D07","30SC5",0.286960546913154,0.00143972002666214
"247","LK6-D07","30SC7",0.239733970383521,0.000976703733595407
"248","LK6-D07","37SC3",0.215404262074951,0.0035701116062178
"249","LK6-D07","37SC5",0.261859903947722,0.00494387066733919
"250","LK6-D07","37SC7",0.224427547151882,0.00471916044851915
